,shot_num,latitude,longitude,elev_highest,elev_lowest,rh25,rh50,rh75,rh98,canopy_top_h,quality_flag,degrade_flag
88235,206590000300205420,32.54899315746878,-92.01328678432779,0.9434716,-2.9031913,-0.85,0.03,0.93,3.13,3.84,1,0
88237,206590000300205422,32.54826694740078,-92.01242314962188,5.317996,-2.8981762,-0.78,0.26,1.64,7.31,8.21,1,0
88238,206590000300205423,32.54790163442462,-92.01198985926973,11.037507,-3.3034475,-0.74,0.63,4.85,13.18,14.34,1,0
88239,206590000300205424,32.54753397232859,-92.0115550598691,20.400515,-3.3890367,1.68,11.46,17.32,22.63,23.78,1,0
88240,206590000300205425,32.54717120104315,-92.01112327831939,22.412724,-5.2234893,11.53,16.61,20.65,26.29,27.63,1,0
88241,206590000300205426,32.546806676063504,-92.01069038892079,27.109964,0.40741006,7.35,15.83,20.91,25.69,26.7,1,0
88242,206590000300205427,32.5464498554378,-92.0102623006269,20.138294,-3.7259457,2.72,11.87,18.74,23.0,23.86,1,0
88243,206590000300205428,32.546098758556326,-92.00983779271188,4.467015,-4.421387,-0.03,1.41,3.99,8.47,8.88,1,0
88246,206590000300205431,32.54500472151535,-92.00853911744588,18.69925,-2.102596,-1.0,1.0,9.22,19.83,20.8,1,0
88247,206590000300205432,32.544642268276746,-92.00810774225668,19.821732,-4.4533114,-0.03,9.48,17.88,23.15,24.27,1,0
88248,206590000300205433,32.544285486666844,-92.00767998897881,12.177807,-4.5532985,0.41,3.88,9.18,15.53,16.73,1,0
88249,206590000300205434,32.54393191835398,-92.00725434145394,-0.5361716,-4.420178,-1.12,-0.07,0.93,2.95,3.88,1,0
88250,206590000300205435,32.54356950460418,-92.00682330254091,-0.08591279,-4.3807273,-1.38,-0.14,1.0,3.28,4.29,1,0
88251,206590000300205436,32.543192793723954,-92.00638349172227,21.755323,-4.0882564,0.22,8.85,17.92,24.64,25.84,1,0
88252,206590000300205437,32.54283010289342,-92.0059525637073,22.073181,-3.4342818,1.0,13.14,18.56,24.34,25.5,1,0
88253,206590000300205438,32.54248189971046,-92.00553082168778,0.1401104,-4.266742,-1.12,-0.03,0.97,3.13,4.4,1,0
88254,206590000300205439,32.54210653010423,-92.00509231711382,19.045515,-4.818712,0.59,9.85,16.09,22.59,23.86,1,0
88255,206590000300205440,32.541747631447606,-92.00466422750797,12.721648,-6.063494,-0.63,0.93,9.71,17.66,18.78,1,0
88256,206590000300205441,32.541381677200505,-92.00423189402804,16.816183,-1.7075357,3.65,9.03,12.43,17.29,18.52,1,0
88257,206590000300205442,32.541024923193724,-92.00380543837757,6.7317805,-2.4927325,-1.12,0.11,1.38,7.84,9.22,1,0
88258,206590000300205443,32.540665438757074,-92.00337742484791,0.5542484,-3.4044495,-1.19,-0.07,1.0,3.09,3.95,1,0
88259,206590000300205444,32.54030040441618,-92.00294609247813,2.5690129,-2.6968021,-1.26,-0.07,0.97,3.84,5.26,1,0
88260,206590000300205445,32.53993611681913,-92.00251535837113,3.2584372,-3.127764,-0.7,0.48,2.24,5.22,6.38,1,0
88261,206590000300205446,32.53956117911216,-92.00207812076901,19.901123,-4.4112577,-0.11,5.56,16.73,23.26,24.31,1,0
88262,206590000300205447,32.53919375894258,-92.00164568976224,25.001469,-4.091226,6.08,13.03,19.19,27.78,29.09,1,0
88263,206590000300205448,32.53883430479742,-92.00121834097419,17.901144,-4.8426943,0.11,3.99,13.85,21.36,22.74,1,0
88264,206590000300205449,32.538118489013705,-92.00036591383815,-1.3238381,-5.0211124,-1.34,-0.18,0.85,2.83,3.69,1,0
88265,206590000300205450,32.53774228270251,-91.9999284672152,16.63614,-4.7258887,-0.26,1.6,10.23,20.27,21.36,1,0
88266,206590000300205451,32.537374758548715,-91.99949653108477,21.383907,-5.654745,-0.41,1.68,18.26,25.76,27.03,1,0
88267,206590000300205452,32.53701345308037,-91.99906856572403,16.665497,-5.069994,-0.63,0.78,6.23,20.35,21.73,1,0
88268,206590000300205453,32.53664510654772,-91.998636309843,22.580023,-5.2802467,0.48,10.68,19.42,26.51,27.86,1,0
88269,206590000300205454,32.536278324760296,-91.99820511892341,26.115469,0.27189493,10.83,16.8,20.05,24.46,25.84,1,0
88270,206590000300205455,32.53591253836325,-91.99777463297775,28.149616,1.2603488,11.01,16.46,21.06,25.69,26.88,1,0
88271,206590000300205456,32.53555573823728,-91.99734982330236,16.599258,-5.733772,1.08,9.37,14.75,21.06,22.33,1,0
88272,206590000300205457,32.53518856876724,-91.99691863356905,20.795715,-7.662093,5.34,15.94,20.87,26.81,28.45,1,0
88273,206590000300205458,32.53482318968007,-91.99648863036586,22.340858,-6.266333,11.76,17.73,21.58,27.37,28.6,1,0
88274,206590000300205459,32.5344653270171,-91.99606337571039,12.584443,-5.565811,2.95,7.95,11.57,16.91,18.15,1,0
88275,206590000300205460,32.53409874439251,-91.99563275483493,16.131052,-5.5670915,6.75,13.03,16.39,20.24,21.69,1,0
88276,206590000300205461,32.53373108192811,-91.9952015197468,21.425215,-4.6797814,4.63,12.51,18.22,24.98,26.1,1,0
88277,206590000300205462,32.53336705405468,-91.99477259984239,21.328054,-5.747941,4.59,12.43,19.75,25.69,27.07,1,0
88278,206590000300205463,32.53300404528232,-91.99434435796381,19.78933,-4.1495843,6.08,13.78,18.44,22.93,23.93,1,0
88279,206590000300205464,32.53265401492543,-91.99392423274895,-1.3103752,-5.231726,-1.38,-0.18,0.89,2.98,3.92,1,0
88280,206590000300205465,32.532289909612,-91.99349537189022,-1.0127748,-5.2702413,-1.15,-0.11,0.89,3.09,4.25,1,0
88281,206590000300205466,32.53192594233844,-91.9930666158054,-0.85427177,-4.9996996,-1.26,-0.07,1.04,3.21,4.14,1,0
88282,206590000300205467,32.531562095063165,-91.9926379459604,-0.8155546,-4.8489437,-1.45,-0.22,0.89,3.09,4.03,1,0
88283,206590000300205468,32.531198543107536,-91.99220946338824,-1.1723871,-4.981699,-1.68,-0.37,0.82,2.87,3.8,1,0
88284,206590000300205469,32.5308346898094,-91.99178078858833,-1.0311923,-4.9898887,-1.53,-0.26,0.89,3.02,3.95,1,0
88285,206590000300205470,32.53047077617498,-91.99135206355326,-0.7668309,-4.8749123,-1.41,-0.22,0.93,3.13,4.1,1,0
88286,206590000300205471,32.53010716110633,-91.99092350451929,-0.93100953,-5.1884756,-1.23,-0.11,1.0,3.24,4.25,1,0
88287,206590000300205472,32.52973585001359,-91.99049012468815,10.568464,-5.4157057,0.18,5.41,10.04,14.9,15.98,1,0
88288,206590000300205473,32.52937646928852,-91.99006413568897,4.003313,-5.18385,-0.18,1.6,4.63,8.32,9.18,1,0
88289,206590000300205474,32.52901190931633,-91.98963487734677,5.272492,-8.657637,3.32,4.78,7.28,12.77,13.93,1,0
88290,206590000300205475,32.528642394648315,-91.98920248136976,14.025446,-4.7970333,-0.97,0.74,3.47,17.29,18.82,1,0
88291,206590000300205476,32.5282887458088,-91.98877990240221,-1.2742201,-5.1208773,-1.41,-0.18,0.93,2.98,3.84,1,0
88292,206590000300205477,32.52791769358775,-91.98834642035311,9.742325,-4.972073,-0.41,1.53,7.43,13.63,14.71,1,0
88293,206590000300205478,32.52756142566281,-91.98792206449058,-1.6792243,-5.5258813,-1.3,-0.18,0.89,2.91,3.84,1,0
88294,206590000300205479,32.52718541333563,-91.98748533102068,16.736612,-5.7831364,-0.22,1.9,14.37,21.43,22.51,1,0
88295,206590000300205480,32.52682492190988,-91.98705816817525,11.584253,-5.2588763,0.14,3.13,7.02,15.57,16.84,1,0
88297,206590000300205482,32.526096285978475,-91.9861987654101,12.618929,-5.195201,-0.59,1.15,5.45,16.61,17.81,1,0
88298,206590000300205483,32.52574182074343,-91.98577502664625,-1.9232335,-5.8445826,-1.26,-0.07,1.08,3.13,3.92,1,0
88299,206590000300205484,32.5253775060818,-91.98534503023966,-1.6616036,-5.7323375,-1.3,-0.14,0.97,3.21,4.07,1,0
88300,206590000300205485,32.52501324795811,-91.98491493572004,-1.6066953,-5.640083,-1.38,-0.14,1.0,3.13,4.03,1,0
88301,206590000300205486,32.52464883211008,-91.984484609101,-1.4273309,-5.796834,-1.19,-0.03,1.12,3.39,4.36,1,0
88302,206590000300205487,32.5242846247076,-91.98405428251222,-1.6669321,-5.588281,-1.34,-0.14,0.93,2.98,3.92,1,0
88303,206590000300205488,32.523920275434264,-91.98362374308431,-1.7804737,-5.8885536,-1.34,-0.14,0.97,3.13,4.1,1,0
88304,206590000300205489,32.52355571241676,-91.98319294900283,-1.6507453,-5.90821,-1.19,-0.07,1.08,3.32,4.25,1,0
88305,206590000300205490,32.52319125310924,-91.98276210313968,-1.7436385,-5.8517184,-1.3,-0.14,0.97,3.13,4.1,1,0
88306,206590000300205491,32.52282666359949,-91.98233106436882,-1.692378,-5.949843,-1.26,-0.11,0.97,3.24,4.25,1,0
88307,206590000300205492,32.5224617612701,-91.98189972326216,-1.2082772,-6.1006274,-1.34,-0.11,1.12,3.69,4.89,1,0
88308,206590000300205493,32.52209226532122,-91.98146542030258,6.2033825,-5.9714737,-0.52,1.26,5.26,11.01,12.17,1,0
88310,206590000300205495,32.52136822207233,-91.98060582800501,-1.6387283,-6.269655,-1.3,-0.03,1.23,3.77,4.63,1,0
88312,206590000300205497,32.520639314116075,-91.9797428489713,-2.077557,-6.5217533,-1.38,-0.14,1.0,3.36,4.44,1,0
88313,206590000300205498,32.52027484308133,-91.97931122556074,-2.224979,-6.445098,-1.26,-0.11,1.0,3.21,4.22,1,0
88314,206590000300205499,32.51991053903635,-91.97887962990161,-2.577661,-6.6110497,-1.3,-0.14,0.93,3.06,4.03,1,0
88315,206590000300205500,32.519545754563545,-91.97844766432503,-2.140756,-6.6596446,-1.3,-0.11,1.08,3.39,4.51,1,0
88316,206590000300205501,32.51918169933544,-91.97801608454535,-2.737443,-6.733485,-1.26,-0.14,0.93,3.06,3.99,1,0
88317,206590000300205502,32.51881626477345,-91.97758358360375,-1.160482,-6.7624106,-1.34,-0.07,1.19,4.4,5.6,1,0
88318,206590000300205503,32.51844722145058,-91.97714877879861,5.9777637,-5.412824,-0.7,2.09,5.0,9.97,11.39,1,0
88319,206590000300205504,32.51808102893125,-91.9767156949035,8.911698,-5.242508,0.41,3.65,7.43,13.07,14.15,1,0
88320,206590000300205505,32.51771480788748,-91.97628254340371,12.010307,-7.297674,-0.63,0.85,3.36,17.85,19.3,1,0
88321,206590000300205506,32.51735275109819,-91.97585188975984,8.809401,-7.286808,-0.85,0.82,6.42,14.71,16.09,1,0
88322,206590000300205507,32.51699668909768,-91.97542492426433,-3.3226855,-7.3560743,-1.08,-0.03,1.0,3.24,4.03,1,0
88323,206590000300205508,32.51662217840753,-91.97498644482494,12.638391,-7.827323,-0.48,1.75,12.62,19.19,20.46,1,0
88324,206590000300205509,32.516259656000145,-91.97455539302638,10.622545,-7.3783197,0.22,6.05,11.27,16.84,18.0,1,0
88325,206590000300205510,32.51589524580517,-91.97412313944943,11.640139,-8.041305,0.11,5.93,12.69,18.48,19.68,1,0
88326,206590000300205511,32.51553308046199,-91.97369226043409,9.426309,-7.4168243,-0.67,0.78,8.25,15.57,16.84,1,0
88327,206590000300205512,32.51517831567852,-91.9732659670279,-3.8369982,-7.6836557,-1.3,-0.14,0.97,2.98,3.84,1,0
88328,206590000300205513,32.51481494624934,-91.97283430725585,-3.9274845,-7.6994495,-1.34,-0.18,0.89,2.91,3.77,1,0
88329,206590000300205514,32.514451538763794,-91.9724026149151,-3.8260992,-7.7474494,-1.26,-0.11,1.0,3.02,3.92,1,0
88330,206590000300205515,32.51408854578499,-91.9719711760768,-4.2285852,-8.261974,-1.15,-0.03,1.08,3.17,4.03,1,0
88331,206590000300205516,32.513717382982456,-91.97153465565229,7.8508263,-6.7888803,2.42,6.72,9.48,13.48,14.63,1,0
88332,206590000300205517,32.51336027354086,-91.97110688082238,-1.245154,-7.7060447,-1.04,0.14,1.45,5.22,6.46,1,0
88333,206590000300205518,32.512998938151135,-91.97067648709908,-3.8503468,-8.107812,-1.3,-0.11,1.08,3.36,4.25,1,0
88334,206590000300205519,32.512635867277794,-91.97024502720522,-3.7481284,-7.856209,-1.19,-0.07,1.0,3.17,4.1,1,0
88337,206590000300205522,32.51153812399255,-91.9689454697109,9.8516445,-8.447986,2.53,7.65,11.35,17.17,18.29,1,0
88338,206590000300205523,32.51118383361975,-91.96851957003221,-3.123232,-7.791505,-1.26,-0.03,1.23,3.77,4.66,1,0
88339,206590000300205524,32.51082155049856,-91.96808873567005,-3.970949,-8.228414,-1.15,-0.03,1.04,3.36,4.25,1,0
88340,206590000300205525,32.510458005553275,-91.9676571570362,-2.8923678,-7.635333,-1.45,-0.14,1.12,3.77,4.74,1,0
88341,206590000300205526,32.5100954558545,-91.96722624262551,-3.3145926,-7.8334804,-1.19,0.0,1.15,3.58,4.51,1,0
88342,206590000300205527,32.509732318682325,-91.96679501234115,-2.8527448,-7.670402,-1.26,0.03,1.34,3.84,4.81,1,0
88343,206590000300205528,32.50936959044717,-91.96636409042513,-3.0257032,-7.7686677,-1.26,0.03,1.38,3.84,4.74,1,0
88344,206590000300205529,32.50900682493793,-91.96593320391818,-3.168653,-7.3514247,-1.45,-0.14,1.12,3.32,4.18,1,0
88345,206590000300205530,32.50864405941978,-91.9655023804656,-3.34876,-8.017032,-1.19,0.03,1.3,3.77,4.66,1,0
88346,206590000300205531,32.50828093264108,-91.96507139981887,-3.0302649,-8.034653,-1.15,0.11,1.41,4.07,5.0,1,0
88347,206590000300205532,32.50791903818855,-91.96464125757197,-4.635331,-8.594026,-1.26,-0.14,0.93,2.98,3.95,1,0
88348,206590000300205533,32.50755534280643,-91.9642100829541,-3.5546262,-8.222898,-1.45,-0.11,1.23,3.73,4.66,1,0
88349,206590000300205534,32.507192706740035,-91.96377968605442,-4.048372,-8.156451,-1.34,-0.14,1.0,3.17,4.1,1,0
88350,206590000300205535,32.50682957995676,-91.96334906339997,-3.876549,-8.694205,-1.34,-0.07,1.12,3.8,4.81,1,0
88351,206590000300205536,32.50646679981218,-91.96291873628283,-4.302092,-8.447517,-1.23,-0.07,1.12,3.32,4.14,1,0
88352,206590000300205537,32.50610333421422,-91.96248806310399,-3.7600272,-8.577683,-1.38,-0.07,1.19,3.88,4.81,1,0
88353,206590000300205538,32.5057402684737,-91.96205771827186,-3.8911996,-8.783547,-1.15,0.03,1.3,3.92,4.89,1,0
88354,206590000300205539,32.50537682014897,-91.96162721612964,-3.5069752,-8.772785,-1.15,0.11,1.45,4.36,5.26,1,0
88355,206590000300205540,32.50501395072254,-91.9611971542841,-4.0598807,-8.952229,-1.19,0.11,1.41,4.03,4.89,1,0
88357,206590000300205542,32.5042826952151,-91.96033383971445,3.0036867,-9.619317,-0.07,2.95,7.91,11.61,12.62,1,0
88358,206590000300205543,32.50392420603832,-91.9599067394403,-4.3528733,-8.610336,-1.45,-0.18,0.97,3.24,4.25,1,0
88359,206590000300205544,32.50356115261865,-91.95947688197396,-4.8528275,-8.960905,-1.34,-0.14,0.93,3.13,4.1,1,0
88360,206590000300205545,32.5031974996253,-91.95904673156916,-4.494954,-8.752417,-1.38,-0.18,0.93,3.17,4.25,1,0
88361,206590000300205546,32.50283416361085,-91.95861685870912,-4.66176,-8.84453,-1.45,-0.18,0.97,3.21,4.18,1,0
88362,206590000300205547,32.502470671742095,-91.95818696790407,-4.639326,-8.859443,-1.45,-0.22,0.93,3.17,4.22,1,0
88363,206590000300205548,32.50210719619404,-91.95775716675722,-4.6839676,-8.866737,-1.3,-0.11,1.04,3.28,4.18,1,0
88364,206590000300205549,32.501743945271265,-91.95732758557378,-5.106541,-8.953196,-1.34,-0.18,0.89,2.91,3.84,1,0
88365,206590000300205550,32.50138027701475,-91.95689782441512,-4.9350147,-8.931054,-1.53,-0.26,0.85,2.98,3.99,1,0
88366,206590000300205551,32.501016852985366,-91.95646829548816,-5.165468,-9.161507,-1.45,-0.18,0.97,3.09,3.99,1,0
88367,206590000300205552,32.50064449024003,-91.95603329045365,8.09927,-10.088309,-0.14,2.09,10.86,17.17,18.18,1,0
88368,206590000300205553,32.50027822594755,-91.9556021548657,12.103631,-9.519794,5.67,11.35,15.9,20.39,21.62,1,0
88369,206590000300205554,32.499916927436075,-91.9551741855437,8.567094,-8.948254,4.55,8.02,11.31,16.32,17.51,1,0
88370,206590000300205555,32.49955302448611,-91.95474467718152,8.947731,-9.912078,4.81,9.0,12.88,17.73,18.85,1,0
88371,206590000300205556,32.49918945691037,-91.9543154569271,8.799222,-9.351009,5.67,8.51,11.8,16.88,18.15,1,0
88372,206590000300205557,32.498825634724675,-91.95388615872702,9.0185995,-9.9159,5.86,10.68,14.07,17.81,18.93,1,0
88373,206590000300205558,32.49846885955363,-91.95346131668656,-1.4458075,-9.848692,-0.74,0.78,2.91,7.13,8.4,1,0
88374,206590000300205559,32.498104923006814,-91.95303209244564,-1.086574,-9.265381,-1.19,0.44,2.5,6.9,8.17,1,0
88375,206590000300205560,32.49773940305772,-91.95260193966062,1.6545292,-9.063816,-1.26,0.78,3.73,9.48,10.71,1,0
88376,206590000300205561,32.497376429836585,-91.95217341313192,0.5294069,-9.554053,-0.56,1.75,5.0,8.92,10.08,1,0
88377,206590000300205562,32.4970142489167,-91.95174541038207,-1.8056692,-9.088168,-1.15,0.29,1.97,6.16,7.28,1,0
88378,206590000300205563,32.496650978597565,-91.95131675054445,-2.5001519,-8.662266,-1.3,0.63,2.35,4.89,6.16,1,0
88379,206590000300205564,32.49628708955474,-91.95088771256664,-2.268882,-7.198573,-2.42,-0.59,0.97,3.77,4.92,1,0
88380,206590000300205565,32.49591355671665,-91.95045267697868,12.548997,-9.821344,2.8,11.2,16.84,21.21,22.37,1,0
88381,206590000300205566,32.495548691906436,-91.95002301044136,14.243732,-9.919223,3.77,9.78,18.03,23.11,24.16,1,0
88382,206590000300205567,32.49518541174664,-91.94959429956197,13.53651,-9.618098,6.12,13.22,18.26,22.07,23.15,1,0
88383,206590000300205568,32.49482135624079,-91.94916506559927,13.9995775,-9.752569,4.22,12.51,17.88,22.63,23.75,1,0
88384,206590000300205569,32.494456923055544,-91.94873554451742,15.035642,-9.799543,0.85,5.86,12.24,23.45,24.83,1,0
88385,206590000300205570,32.49409561899242,-91.94830790054802,11.332116,-8.984185,2.87,8.02,14.34,19.0,20.31,1,0
88386,206590000300205571,32.493731111709366,-91.94787818889414,12.478166,-8.062212,-1.19,1.71,6.9,19.12,20.54,1,0
88387,206590000300205572,32.49336617028338,-91.94744811712891,14.282722,-10.552461,5.41,14.04,18.89,23.52,24.83,1,0
88388,206590000300205573,32.49300231514457,-91.9470186190773,14.449274,-8.369218,1.23,6.46,13.55,21.62,22.81,1,0
88389,206590000300205574,32.492641446547026,-91.9465908620322,10.101296,-9.393388,6.27,11.31,14.75,18.33,19.49,1,0
88390,206590000300205575,32.49227544285276,-91.9461597875291,13.528984,-2.4551628,2.83,7.54,10.23,14.63,15.98,1,0
88391,206590000300205576,32.49191357183839,-91.94573114222538,10.711653,-6.4302244,-0.18,2.95,10.0,16.24,17.14,1,0
88392,206590000300205577,32.49154574032357,-91.94529864319273,16.923574,-9.741568,12.17,17.4,20.87,25.54,26.66,1,0
88393,206590000300205578,32.491184119985355,-91.94486983944965,13.745885,-10.379719,7.28,14.45,18.74,22.81,24.12,1,0
88394,206590000300205579,32.49081807821691,-91.94443811446367,17.272676,-9.280426,8.73,16.61,20.98,25.28,26.55,1,0
88395,206590000300205580,32.49045496446385,-91.94400802157487,16.38323,-9.759064,12.88,17.92,21.13,24.9,26.14,1,0
88396,206590000300205581,32.49009174296532,-91.94357766157641,15.669783,-10.061705,11.01,16.39,19.79,24.38,25.73,1,0
88397,206590000300205582,32.48972795139875,-91.94314673822662,15.8346,-9.896886,12.69,18.22,21.21,24.68,25.73,1,0
88398,206590000300205583,32.48936372282707,-91.9427153439057,16.673708,-10.290201,9.93,18.15,21.51,25.76,26.96,1,0
88399,206590000300205584,32.48900093521571,-91.94228466446842,15.34175,-9.568122,6.64,13.48,18.63,23.75,24.9,1,0
88400,206590000300205585,32.48863636017645,-91.94185271360364,16.719526,-10.057652,7.88,15.34,19.86,25.39,26.77,1,0
88401,206590000300205586,32.488272639296234,-91.94142115176064,16.807129,-10.156779,7.02,17.44,21.51,25.8,26.96,1,0
88402,206590000300205587,32.487910523617366,-91.94099046335536,14.460896,-10.747745,3.88,13.22,19.08,23.93,25.2,1,0
88403,206590000300205588,32.48754520881434,-91.94055768375551,16.946707,-8.822126,6.57,13.81,19.49,24.72,25.76,1,0
88404,206590000300205589,32.48718329801862,-91.94012693333143,14.269727,-10.789529,10.53,15.38,18.33,23.6,25.05,1,0
88405,206590000300205590,32.48681944323321,-91.93969491080904,14.520237,-9.792096,6.38,12.84,17.77,23.22,24.31,1,0
88406,206590000300205591,32.486457149245375,-91.93926380980493,12.386189,-10.544336,2.53,9.0,14.26,21.51,22.93,1,0
88407,206590000300205592,32.48609259124701,-91.93883127694038,13.657067,-10.244458,9.41,15.64,18.74,22.74,23.9,1,0
88408,206590000300205593,32.48572795705305,-91.93839868801788,15.013348,-10.606101,10.45,16.88,20.54,24.46,25.61,1,0
88409,206590000300205594,32.48536267777648,-91.93796570874495,17.311472,-10.922205,13.96,19.45,22.74,26.96,28.23,1,0
88410,206590000300205595,32.485000582876445,-91.93753473689489,14.754923,-9.706796,11.31,17.17,20.2,23.3,24.46,1,0
88411,206590000300205596,32.48464488202317,-91.93710778376447,2.4817712,-9.655723,-0.82,0.67,2.76,10.79,12.13,1,0
88413,206590000300205598,32.48391155773276,-91.93624049031996,10.968291,-10.916544,8.88,14.49,17.29,20.87,21.88,1,0
88414,206590000300205599,32.483545660478256,-91.9358074685669,13.975226,-9.814262,10.04,14.56,18.03,22.7,23.78,1,0
88415,206590000300205600,32.48318336878754,-91.93537681024885,11.467202,-9.297249,7.73,11.95,15.08,19.64,20.76,1,0
88418,206590000300205603,32.482087692359244,-91.93408031770952,16.874992,-7.8481503,11.57,17.06,19.94,23.6,24.72,1,0
88419,206590000300205604,32.48172421385478,-91.93364961634494,15.889657,-10.252639,10.75,18.0,20.72,24.9,26.14,1,0
88420,206590000300205605,32.4813604805195,-91.93321897767392,15.210291,-8.317775,13.25,17.29,19.49,22.44,23.52,1,0
88422,206590000300205607,32.48063121307056,-91.93235729884728,16.33237,-3.27435,6.94,11.24,14.52,18.52,19.6,1,0
88423,206590000300205608,32.48026865591234,-91.93192808740383,13.642537,-4.320955,0.33,6.34,12.73,16.88,17.96,1,0
88424,206590000300205609,32.47991472320235,-91.93150443235497,-2.153224,-6.8961835,-2.35,-0.63,0.85,3.54,4.74,1,0
88425,206590000300205610,32.47954947490038,-91.93107393773757,-0.88041914,-7.565377,-1.75,-0.18,1.3,5.26,6.68,1,0
88426,206590000300205611,32.47918627711293,-91.93064488295673,-2.7491078,-8.052259,-2.24,-0.41,1.23,4.18,5.3,1,0
88427,206590000300205612,32.47882197698553,-91.93021529307603,-2.9799101,-8.917946,-1.49,0.0,1.49,4.78,5.93,1,0
88428,206590000300205613,32.47845710179342,-91.92978547769454,-2.3603983,-7.290088,-2.12,-0.44,1.04,3.8,4.92,1,0
88429,206590000300205614,32.47809098923936,-91.92935500782079,0.12092577,-6.937494,-2.46,-0.33,1.6,5.71,7.05,1,0
